"V1","V3"
"Spider","Card"
"Spotify","Music & Audio"
"Square InPic","Photography"
"Status Saver","Productivity"
"Stay Alert","Communication"
"Sticker Maker","Tools"
"Sticker.ly","Tools"
"Styles & wallpapers","Personalization"
"Subway Surf","Arcade"
"Sudoku","Puzzle"
"Sudoku","Puzzle"
"Survival Manual","Books & Reference"
"Syncthing","Productivity"
"TC","Lifestyle"
"TMAnatomy","Medical"
"TabuGo!","Word"
"Tasks","Productivity"
"Tasks","Productivity"
"Teams","Business"
"Telegram","Communication"
"Telegram FOSS","Communication"
"Termux","Tools"
"Tether","Tools"
"The Chosen","Entertainment"
"The Crypto App","Finance"
"Thenics","Health & Fitness"
"TickTick","Productivity"
"TikTok","Social"
"Tile Shortcuts","Personalization"
"TimeTree","Productivity"
"Timetable","Productivity"
"Tinder","Lifestyle"
"Token","Communication"
"Trading 212","Finance"
"Traduction","Tools"
"Translate","Tools"
"Translator","Productivity"
"Trello","Productivity"
"Truth or Dare","Trivia"
"Tumblr","Social"
"TunnelBear","Tools"
"Turbo VPN","Tools"
"Tutanota","Communication"
"TwiMate Downloader","Video Players & Editors"
"Twitter","Social"
"Two Dots","Puzzle"
"UX Led Free","Personalization"
"UnFollow","Social"
"Unfollow","Social"
"Unfollow Today","Social"
"Universe","Education"
"V LIVE","Entertainment"
"VLC","Video Players & Editors"
"VLC Mobile Remote","Video Players & Editors"
"Vantage FX","Finance"
"Vault","Business"
"VeSync","Lifestyle"
"Vero","Social"
"Video Downloader","Video Players & Editors"
"Video Editor","Video Players & Editors"
"Vidstitch","Photography"
"View Deleted Message","Tools"
"Viki","Entertainment"
"Viral","Personalization"
"Virtual Beggar","Casual"
"Virtual Families 2","Casual"
"VivaVideo","Video Players & Editors"
"Vocabulary Builder","Education"
"Voice Access","Tools"
"Voice Recorder","Music & Audio"
"Voice Recorder","Tools"
"Volume Styles","Personalization"
"WAMR","Communication"
"WEBTOON","Comics"
"WOMBO","Entertainment"
"WPS Office Lite","Productivity"
"WR Test","Action"
"War Robots","Action"
"Wattpad","Books & Reference"
"Weather","Weather"
"Webex Meet","Business"
"Wemoji","Communication"
"WhatsApp","Communication"
"WhatsApp Business","Communication"
"WhatsApp Wallpaper","Personalization"
"WiFiAnalyzer","Tools"
"WireGuard","Tools"
"Wish","Shopping"
"Wolvesville","Role Playing"
"Word","Productivity"
"WordWeb","Books & Reference"
"Wordscapes","Word"
"Workout Trainer","Health & Fitness"
"Yahoo Mail","Communication"
"YouCut - Video Editor","Video Players & Editors"
"YouTube","Video Players & Editors"
"YouTube Music","Music & Audio"
"Zedge","Personalization"
"Zen Mode","Tools"
"Zentris","Puzzle"
"Zest","Personalization"
"Zoom","Business"
"[Kustom] Material Komponents","Personalization"
"eBay","Shopping"
"edX","Education"
"edjing Mix","Music & Audio"
"téléchargeur TwiMate","Video Players & Editors"
"uxtoast","Education"
"xdrop","Tools"
"µTorrent Pro","Video Players & Editors"
"‎‏‎‎‎‎‎‏‎‏‏‏‎‎‎‎‎‏‏‎‏‎‏‏‏‎‏‏‏‏‏‏‏‏‎‏‎‎‎‎‏‎‎‏‎‎‏‎‏‎‏‏‎‏‎‏‎‎‎‏‎‎‏‎‏‎‎‏‏‎‏‎‏‎‎‏‎‎‎‎‏‎‏‏‎‎‏‏‎‏‏‎‏‎‏‏‎Authenticator‎‏‎‎‏‎","Tools"
"American Airlines","Travel & Local"
"Classroom","Education"
"News Suite","News & Magazines"
"Pi","Social"
"Piano Tiles 2020","Music"
"Robinhood","Finance"
"VeryFitPro","Health & Fitness"
"Wells Fargo","Finance"
"Ajedrez","Board"
"Calendario de la fase lunar","Weather"
"Clash of Clans","Strategy"
"DididApp","Lifestyle"
"Famous Latin Quotes","Education"
"Fast Scanner","Business"
"Flyer Maker","Business"
"Free Books","Books & Reference"
"G-Forms","Productivity"
"Google Play Juegos","Entertainment"
"Latin Phrases Lite","Books & Reference"
"Mensajes","Communication"
"Podcasts de Google","Music & Audio"
"Run Tracker","Health & Fitness"
"Smart E-Books Downloader","Books & Reference"
"Tandem","Education"
"WPS Office","Productivity"
"WordConnect","Word"
"lichess","Board"
"µTorrent","Video Players & Editors"
"CamScanner","Productivity"
"English - Spanish dictionary","Books & Reference"
"Flags and capitals of the world","Education"
"Goal Tracker","Productivity"
"Google Play Books","Books & Reference"
"HiLook","Video Players & Editors"
"Learn","Finance"
"Learn 50 languages","Education"
"Tapas","Comics"
"Word of the Day","Education"
"WordBit Spanish","Education"
"360Eyes Pro","Video Players & Editors"
"9GAG","Entertainment"
"Acrobat for Samsung","Productivity"
"Amazon Alexa","Lifestyle"
"Asphalt 9","Racing"
"Bleacher Report","Sports"
"Blues Live","Sports"
"Briefing","News & Magazines"
"Call of Duty","Action"
"Cardio","Health & Fitness"
"Checkers","Board"
"Chess","Board"
"Chess","Board"
"DofuSports Live Streaming","Sports"
"Dropbox","Productivity"
"Dumbbell Workout at Home","Health & Fitness"
"Eurosport","Sports"
"ExpressVPN","Tools"
"Flow Sports","Sports"
"Football TV HD","Sports"
"GIF2Sticker","Personalization"
"GIFShop","Photography"
"Goal Live","Sports"
"Goal News","Sports"
"Google TV","Video Players & Editors"
"HIIT Workout Generator","Health & Fitness"
"Hobi","Entertainment"
"Home Workout","Health & Fitness"
"Link to MyASUS","Productivity"
"Lose Weight App for Men","Health & Fitness"
"MetaTrader 5","Finance"
"Moon Walker","Arcade"
"NBA","Sports"
"PowerPoint","Productivity"
"Quisk","Finance"
"Real Cricket 3D","Sports"
"Samsung Pay","Lifestyle"
"Smart Tutor","Tools"
"SportsMax","Entertainment"
"Steam","Entertainment"
"V380 Pro","Libraries & Demo"
"Video","Video Players & Editors"
"Webex","Business"
"World Cricket Championship 3","Sports"
"X2 Blocks","Puzzle"
"YCC365 Plus","Tools"
"upday","News & Magazines"
"Ball Sort Puzzle","Puzzle"
"CIBC FirstCaribbean Mobile","Finance"
"Digital Token","Finance"
"English","Books & Reference"
"Flow ToGo","Communication"
"HiPER Scientific Calculator","Tools"
"Holy Bible (KJV)","Books & Reference"
"JPS","Business"
"Perfect Piano","Music & Audio"
"Sagicor e-bank","Finance"
"churchme","Social"
